Date,Close/Last,Volume,Open,High,Low
08/31/2022,$474.33,49876,$486.91,$491.6,$472.02
08/30/2022,$488.47,49904,$496.57,$497.32,$484.75
08/29/2022,$495.7,35611,$491.78,$497.305,$485.99
08/26/2022,$494.39,29835,$503.83,$504.706,$492.41
08/25/2022,$507.37,22097,$507.09,$512.7,$501.38
08/24/2022,$509.55,17699,$509.73,$521.84,$508
08/23/2022,$514.88,28848,$523.95,$524.64,$507.4
08/22/2022,$520.1,26602,$516.1,$526.53,$513.58
08/19/2022,$527.18,33755,$532.9,$532.9,$517.53
08/18/2022,$534.2,25733,$525.6,$535.16,$525.15
08/17/2022,$520.09,36623,$514.84,$525.5541,$510.99
08/16/2022,$517.6,44555,$507,$522.59,$505.76
08/15/2022,$506.79,34923,$499.88,$509.42,$499.88
08/12/2022,$503.3,32568,$502.13,$504.4817,$497.12
08/11/2022,$499.69,27392,$508.07,$508.07,$498.52
08/10/2022,$499.23,39643,$504.41,$509.7,$496.15
08/09/2022,$497.59,32197,$493.54,$506.46,$493.54
08/08/2022,$498.13,35590,$499.02,$509.75,$496.1765
08/05/2022,$499.74,40863,$498.1,$504.28,$494
08/04/2022,$501.35,37869,$500.55,$507.9,$497.24
08/03/2022,$507.48,93818,$517.35,$521.81,$490.4
08/02/2022,$512.79,42068,$529.43,$529.43,$507
08/01/2022,$520.95,40807,$514.12,$530.0269,$510.17
07/29/2022,$513,54672,$503.87,$516.75,$498
07/28/2022,$506.79,46944,$506.89,$514.065,$499.65
07/27/2022,$507.17,45851,$501.7,$514.98,$495.0666
07/26/2022,$501.7,86717,$499.45,$507.99,$486.27
07/25/2022,$494.11,52700,$501.84,$506,$486.9771
07/22/2022,$496.87,62988,$505,$508.31,$492.505
07/21/2022,$501.12,57886,$499.89,$504.6,$493.04
07/20/2022,$500.25,111584,$510.99,$510.99,$487.96
07/19/2022,$506.03,989758,$497.38,$513.51,$492.665
07/18/2022,$495.49,125955,$513,$514.98,$490
07/15/2022,$501,138601,$525.13,$526.77,$487.8642
07/14/2022,$514.32,216789,$537.99,$544,$483.7817
07/13/2022,$579.28,27573,$564.99,$590.75,$558.0102
07/12/2022,$569.36,44535,$567.22,$597.485,$558.035
07/11/2022,$573,20911,$584.73,$591.7902,$567.86
07/08/2022,$583.73,26232,$578.5,$592.955,$576.8118
07/07/2022,$577,24711,$584.16,$591.745,$571.6607
07/06/2022,$582.55,26696,$584.02,$585.4,$566.45
07/05/2022,$582.19,39001,$578.6,$584.585,$560.95
07/01/2022,$575.06,35464,$558.24,$580.075,$558.24
06/30/2022,$563.9,39419,$542.5,$567.13,$542.5
06/29/2022,$551.82,22255,$547.52,$559,$547.52
06/28/2022,$544,35749,$560.15,$578.73,$541.095
06/27/2022,$562.9,34167,$555.01,$568.08,$540.56
06/24/2022,$551.82,76842,$528.8,$552.77,$527.7701
06/23/2022,$521.43,32083,$510.58,$524.99,$507.95
06/22/2022,$505.57,28938,$505.3,$514.16,$496.97
06/21/2022,$516.3,42265,$507.93,$523.11,$489.88
06/17/2022,$496.16,134153,$539.46,$539.6,$492.78
06/16/2022,$533.6,51790,$541.3,$545.805,$528.265
06/15/2022,$551,51150,$576.26,$585.3874,$547.685
06/14/2022,$569.92,47856,$552.76,$569.92,$552.76
06/13/2022,$551.98,54106,$568.78,$576.61,$550.0101
06/10/2022,$582.35,43701,$581.68,$599.14,$575
06/09/2022,$589.5,69837,$634.19,$634.19,$588.55
06/08/2022,$632.12,46704,$632.05,$647.555,$621.5
06/07/2022,$634.98,62601,$628.92,$656.11,$625.34
06/06/2022,$635.77,82563,$614.5,$644.46,$611.07
06/03/2022,$603,48466,$601.2,$614.645,$599.035
06/02/2022,$602.28,40620,$580,$603.37,$574.71
06/01/2022,$573.79,54253,$562.8,$577.34,$546
05/31/2022,$564.97,47140,$559.76,$577.39,$551.65
05/27/2022,$565.32,27170,$566.85,$572.7018,$560.545
05/26/2022,$557.53,52523,$582,$583.35,$550.11
05/25/2022,$582.51,47341,$556.45,$587.97,$548.01
05/24/2022,$564.2,59332,$537.04,$569.33,$535.67
05/23/2022,$543.25,47671,$515.54,$544.78,$515.54
05/20/2022,$508.41,32693,$495.59,$509.02,$489.59
05/19/2022,$492.05,38871,$480.25,$508.29,$477.1101
05/18/2022,$488.86,43280,$514.2,$514.2,$485
05/17/2022,$525.49,28725,$538.25,$541.28,$520
05/16/2022,$529.69,35369,$526.01,$549.9998,$522.99
05/13/2022,$530.8,42598,$519.22,$536.56,$512.79
05/12/2022,$514.01,28850,$498.25,$516.225,$498.25
05/11/2022,$498,35679,$503.28,$518,$491
05/10/2022,$502.61,45894,$498,$503.19,$473.85
05/09/2022,$497.14,45857,$479.25,$500.33,$467.97
05/06/2022,$483.65,35802,$467.1,$484.15,$462
05/05/2022,$469.73,35957,$498.51,$498.51,$462.69
05/04/2022,$496.01,53544,$464.72,$497.54,$458.395
05/03/2022,$449.53,25461,$450.32,$452.05,$441.02
05/02/2022,$448.79,36411,$443.77,$453.16,$435.229
04/29/2022,$441.5,33573,$460.49,$462.5,$440.09
04/28/2022,$461,34678,$463.82,$464.09,$448.75
04/27/2022,$462,35568,$476.76,$478.85,$461.59
04/26/2022,$473.45,36866,$485.41,$499.96,$470.79
04/25/2022,$485.14,40868,$478.38,$489,$470.08
04/22/2022,$474.8,24606,$491.25,$491.25,$474.8
04/21/2022,$487.69,30943,$499.5,$504.9386,$485.13
04/20/2022,$493.09,27140,$491.46,$508.175,$491.46
04/19/2022,$490.88,34968,$480.1,$495.62,$472.9377
04/18/2022,$475.09,40538,$495,$495,$470.01
04/14/2022,$492.7,17272,$497.7,$503.5,$492.6
04/13/2022,$494.25,32701,$489.31,$495.13,$488.55
04/12/2022,$488.98,29179,$487.3,$494.98,$482.8472
04/11/2022,$485.22,40233,$482.45,$490.28,$480.1601
04/08/2022,$488.14,33475,$495.36,$495.79,$487.07
04/07/2022,$492.3,52121,$498.93,$501.01,$485.555
04/06/2022,$495.13,35636,$491.27,$499.98,$488.88
04/05/2022,$498.4,32180,$505.95,$516.2635,$497.39
04/04/2022,$505.45,46639,$517.61,$519.03,$503.4496
04/01/2022,$513.6,36973,$502,$514.11,$497.09
03/31/2022,$496.85,48342,$489,$507.23,$488.3
03/30/2022,$491.68,36909,$495.24,$495.24,$485
03/29/2022,$494.46,33247,$488.29,$497.89,$487.69
03/28/2022,$483.7,51891,$485,$490.47,$480.01
03/25/2022,$485,36806,$478.39,$486.62,$475
03/24/2022,$479.39,37160,$485.11,$486.61,$470
03/23/2022,$484.11,37959,$490.79,$497.2,$475.45
03/22/2022,$495.05,43231,$499.75,$501.01,$484.31
03/21/2022,$494.87,53589,$507.04,$514.7,$483.05
03/18/2022,$513.11,126619,$495.16,$517.295,$483.35
03/17/2022,$493,26156,$489.44,$499.02,$488.01
03/16/2022,$496.06,39718,$490.54,$505.07,$479.8316
03/15/2022,$488.67,46633,$456.49,$492.86,$455
03/14/2022,$451.21,23648,$450.45,$466.16,$450.45
03/11/2022,$450.45,18940,$474.05,$475,$448.24
03/10/2022,$468.8,38750,$465.21,$469.23,$445.94
03/09/2022,$475.42,53627,$461.26,$476.715,$447.561
03/08/2022,$459.11,48816,$439.74,$459.925,$439.64
03/07/2022,$442.4,40388,$452.61,$452.61,$426.402
03/04/2022,$457.21,31855,$464.07,$464.07,$453.62
03/03/2022,$467.8,32852,$492.85,$492.85,$464.09
03/02/2022,$494.41,35297,$485.99,$506.93,$485.99
03/01/2022,$483.91,45482,$491.77,$510.8,$476
02/28/2022,$496.93,58859,$481.98,$512.77,$481.98
02/25/2022,$489.09,73971,$447,$494.43,$447
02/24/2022,$445.94,101177,$439.05,$449.51,$420.34
02/23/2022,$446.66,100681,$560.6,$571.81,$441.9675
02/22/2022,$583.64,24724,$568.62,$589.12,$568.62
02/18/2022,$575.2,53702,$562.9,$583.74,$562.9
02/17/2022,$566.13,24278,$564.67,$567.8273,$556.52
02/16/2022,$563.22,33233,$573.9,$573.9,$561.16
02/15/2022,$577.16,31730,$590.2,$591.62,$577.14
02/14/2022,$589,29546,$576.3,$589.98,$563.11
02/11/2022,$577.24,40697,$560,$591.0103,$558.35
02/10/2022,$553.59,37329,$573.94,$576.467,$550.21
02/09/2022,$575.06,20938,$578,$578,$567.275
02/08/2022,$571.49,23065,$560.8,$577.75,$560.5
02/07/2022,$562.08,20966,$569.89,$572.2876,$560
02/04/2022,$568.12,24427,$571.3,$574.3033,$560
02/03/2022,$571.4,18738,$558,$571.4,$558
02/02/2022,$563.81,39697,$567.99,$572.5,$559
02/01/2022,$566.96,37780,$576.65,$577.08,$550.74
01/31/2022,$573,27695,$577.92,$582.5635,$567.3
01/28/2022,$576.71,17150,$566.36,$576.71,$563.25
01/27/2022,$566.85,23211,$587.35,$596.0913,$561.05
01/26/2022,$584.92,34209,$595.2,$605.7799,$584.01
01/25/2022,$598.4,37042,$599.1,$603.38,$588.47
01/24/2022,$600.51,37494,$571.95,$604.54,$560.21
01/21/2022,$575.99,30753,$576,$599.87,$575.99
01/20/2022,$577.03,22811,$577.01,$599.92,$576.665
01/19/2022,$576.55,30056,$598.45,$604.3672,$574.53
01/18/2022,$592.08,27989,$611.93,$611.93,$589.92
01/14/2022,$615.6,20710,$618.98,$618.98,$599.99
01/13/2022,$621.79,47790,$607.47,$638,$606.2
01/12/2022,$602.74,24014,$597.48,$609.66,$592.2006
01/11/2022,$598,58268,$592.83,$601.3,$566.45
01/10/2022,$587.74,38933,$599.1,$599.1,$581.01
01/07/2022,$600,31123,$622.19,$622.19,$600
01/06/2022,$625.77,26654,$612,$628.8417,$608.8714
01/05/2022,$606.05,21671,$604.11,$619.1,$604
01/04/2022,$608.42,23780,$618.97,$621,$595.77
01/03/2022,$616.84,23143,$616.35,$618.99,$599.11
12/31/2021,$619.19,22021,$616.53,$620.63,$608.7879
12/30/2021,$616.9,20958,$613.98,$630.5999,$608.575
12/29/2021,$616,18952,$611.35,$625,$602.02
12/28/2021,$612.02,23872,$605,$619.15,$605
12/27/2021,$599.65,21604,$590.91,$602.14,$585.3733
12/23/2021,$593.5,19824,$601.04,$601.6,$583.03
12/22/2021,$600.71,19673,$590.15,$602.56,$588
12/21/2021,$585,34759,$592.93,$593.3633,$574.46
12/20/2021,$590.87,52111,$545.82,$590.87,$545.65
12/17/2021,$545,156376,$552.99,$559.14,$535.9801
12/16/2021,$554.03,25478,$557.1,$566.92,$551.05
12/15/2021,$554.32,48919,$536.53,$556.71,$536.53
12/14/2021,$536.53,50496,$541.7,$546.26,$535.15
12/13/2021,$541.71,24994,$540.52,$554.98,$530.5437
12/10/2021,$537.03,22131,$539.36,$542.77,$533.32
12/09/2021,$539,19760,$559.73,$559.73,$538.01
12/08/2021,$552.72,37135,$562,$567.35,$540
12/07/2021,$563.54,28316,$567,$581.92,$563.01
12/06/2021,$564.86,34354,$578.25,$589.0969,$557.8
12/03/2021,$573.75,19572,$585.12,$589.95,$572
12/02/2021,$582.36,28152,$569.24,$590,$569.24
12/01/2021,$567.22,37055,$571.15,$595.48,$567.22
11/30/2021,$570.57,48212,$573.8,$592.9099,$565.21
11/29/2021,$575.94,32645,$600,$600,$571.695
11/26/2021,$597.1,30287,$584.88,$605.92,$580.545
11/24/2021,$596.01,42058,$586.49,$599.87,$569.75
11/23/2021,$590,42791,$580,$595.52,$563.97
11/22/2021,$580,33142,$560.11,$589.53,$559.5815
11/19/2021,$559.67,27665,$553,$562.42,$550
11/18/2021,$552.33,32832,$528.81,$552.97,$528.81
11/17/2021,$526,27920,$519.78,$534,$515.2874
11/16/2021,$518.35,35913,$515,$531.1397,$512.68
11/15/2021,$512.01,27256,$510.8,$513.13,$493.945
11/12/2021,$510.89,25370,$499,$510.89,$494.93
11/11/2021,$487.76,48576,$477.96,$517.0939,$477.96
11/10/2021,$480,43309,$422.9,$485.67,$422.9
11/09/2021,$426.9,20334,$424.1,$430.92,$421.525
11/08/2021,$426.73,22699,$437.34,$437.34,$422.9
11/05/2021,$433.8,16514,$416.99,$433.82,$415.12
11/04/2021,$414.99,11826,$419.31,$423.4399,$414.64
11/03/2021,$416.72,13839,$411.36,$424,$407.08
11/02/2021,$409,12476,$415,$415,$407.64
11/01/2021,$413.93,25622,$404.99,$413.93,$400.5855
10/29/2021,$401.4,18773,$396.83,$402.22,$394.865
10/28/2021,$398.98,15803,$394.47,$399.3543,$391.6064
10/27/2021,$391.12,11099,$395.8,$395.8,$391
10/26/2021,$393.4,25562,$397.48,$401.6923,$390
10/25/2021,$399,17001,$394.43,$403.65,$394.43
10/22/2021,$395.96,11217,$394.3,$398.5163,$393
10/21/2021,$392.5,17991,$395.95,$402.99,$390.05
10/20/2021,$397.91,12317,$394.57,$398.9,$394.55
10/19/2021,$394.24,8563,$392.78,$394.24,$391.05
10/18/2021,$390.01,14795,$395.5,$397.255,$390.01
10/15/2021,$396.24,16333,$402.38,$402.38,$396.24
10/14/2021,$397.45,11895,$404,$404,$396.721
10/13/2021,$400.77,11182,$400.2,$402.565,$395.91
10/12/2021,$400.2,11375,$399.22,$403.01,$398.97
10/11/2021,$399.22,22941,$405.74,$405.74,$398.97
10/08/2021,$405,11491,$408.4,$409.9999,$404.68
10/07/2021,$407,33369,$403.02,$409.28,$401.38
10/06/2021,$400.9,13225,$404.02,$404.02,$394.19
10/05/2021,$404.5,19353,$392.05,$406.02,$392.05
10/04/2021,$391.28,14715,$390.76,$393.23,$388.1101
10/01/2021,$389.36,22643,$394.24,$395.59,$387.35
09/30/2021,$394.18,19747,$399.92,$401.7414,$393.69
09/29/2021,$398.36,14144,$390.06,$398.36,$390.06
09/28/2021,$387.32,13331,$390,$390.41,$385.11
09/27/2021,$391.43,12675,$390.08,$396.7505,$390.08
09/24/2021,$390.08,13189,$391.47,$394,$389.01
09/23/2021,$392.28,7990,$392.77,$393.125,$389.93
09/22/2021,$390.9,15330,$385.65,$393.96,$384.6099
09/21/2021,$381.76,15710,$385.55,$387.67,$380.31
09/20/2021,$381.9,22314,$388.52,$388.6399,$378.15
09/17/2021,$391.43,69678,$385.68,$392.11,$381.0602
09/16/2021,$383.25,13982,$384.5,$385.67,$382.3884
09/15/2021,$385.35,16219,$384.92,$389.1,$383.685
09/14/2021,$386.03,19028,$394.91,$394.91,$384.29
09/13/2021,$395.7,14946,$390.68,$395.7,$390.3965
09/10/2021,$390.01,14357,$397.09,$397.09,$390
09/09/2021,$394.14,16248,$397.75,$398.45,$393.25
09/08/2021,$400.65,13370,$392,$401.13,$392
09/07/2021,$393.55,15544,$399.44,$399.44,$391.2424
09/03/2021,$398.5,18365,$405.77,$405.77,$395.45
09/02/2021,$405,15443,$407.5,$410,$402.7456
09/01/2021,$407.72,11205,$405.46,$407.9,$400.01
08/31/2021,$406.16,17556,$402.41,$406.985,$398.9
08/30/2021,$401,14154,$398.43,$401.625,$398.23
08/27/2021,$399.95,20427,$391.05,$399.95,$391.05
08/26/2021,$391.1,14448,$394.98,$396.98,$391
08/25/2021,$396.01,13692,$395.18,$398.3,$394.385
08/24/2021,$397.58,15635,$402.62,$402.62,$396.0101
08/23/2021,$400,13474,$405.07,$405.95,$399.26
08/20/2021,$401,25611,$395.69,$405.35,$395.4
08/19/2021,$396.75,19574,$394.7,$402,$391.42
08/18/2021,$398.2,16169,$408.89,$408.89,$396.39
08/17/2021,$407.53,15960,$406.74,$409.89,$402.56
08/16/2021,$406.4,12932,$410,$410,$402.0101
08/13/2021,$410.01,16195,$412.17,$417.3,$409.4242
08/12/2021,$412.98,21557,$403.94,$413.95,$401.63
08/11/2021,$400.21,35966,$390,$414.5,$387.3
08/10/2021,$394.11,27066,$390.81,$397.03,$389
08/09/2021,$388.21,19922,$394.75,$396.5,$386.2
08/06/2021,$393.31,18777,$392.91,$397.82,$392.06
08/05/2021,$391.26,20276,$389.57,$392.15,$386.1
08/04/2021,$385.89,26954,$389.94,$392.1278,$381.75
08/03/2021,$392.24,40868,$394.7,$394.7,$386.7
08/02/2021,$392.82,28321,$399.15,$402.54,$391
07/30/2021,$399.15,27972,$403.43,$405.46,$396
07/29/2021,$405.27,19726,$401.66,$409,$401.66
07/28/2021,$399,24463,$404.62,$404.62,$397.995
07/27/2021,$405.9,33989,$414.15,$414.15,$404.17
07/26/2021,$415.89,22265,$417.44,$419.94,$415.29
07/23/2021,$417.47,18176,$410.86,$417.47,$408.71
07/22/2021,$409.28,23007,$408.01,$410.82,$401.675
07/21/2021,$409.3,25195,$434.5502,$434.5502,$407.62
07/20/2021,$414.98,42075,$406.89,$421.655,$406.89
07/19/2021,$405.4,39705,$412,$413,$403.44
07/16/2021,$414.63,22037,$413.01,$418,$412
07/15/2021,$410.77,16470,$407.55,$410.8,$405.3901
07/14/2021,$407.55,29587,$404.77,$409.06,$402.7
07/13/2021,$403.2,25297,$404.07,$406.01,$400.1101
07/12/2021,$403.58,55138,$393.43,$406.9199,$392.79
07/09/2021,$392.5,20435,$386.76,$392.57,$384.77
07/08/2021,$384.86,35436,$380.8,$386,$380
07/07/2021,$384.09,37493,$388.55,$392.66,$384.09
07/06/2021,$388.55,39107,$392.04,$392.04,$381.15
07/02/2021,$393.39,25365,$396,$397.99,$393.01
07/01/2021,$397.16,23590,$403.43,$405,$396.24
06/30/2021,$402.13,38769,$400,$403.77,$396.505
06/29/2021,$398.39,30639,$403.02,$403.02,$396.0101
06/28/2021,$402,40084,$409.27,$409.27,$401.25
06/25/2021,$405.44,59231,$403.87,$408.38,$401.82
06/24/2021,$402.69,28492,$406.11,$407.1299,$400
06/23/2021,$405.6,33164,$414,$414,$404.13
06/22/2021,$411.89,25913,$410.37,$414,$408
06/21/2021,$406.75,39033,$402.44,$407.551,$399.96
06/18/2021,$399.51,59892,$407.57,$409,$399.2
06/17/2021,$410.3,33186,$411.61,$415,$404.55
06/16/2021,$408.77,29819,$411.8,$414.01,$404.8
06/15/2021,$411.2,27193,$417.7,$417.7,$409.1
