Date,Close/Last,Volume,Open,High,Low
08/31/2022,$108.22,28626970,$110.65,$110.85,$108.13
08/30/2022,$108.94,27513260,$110.17,$110.5,$107.8
08/29/2022,$109.42,21191160,$109.99,$110.95,$108.8
08/26/2022,$110.34,37245700,$114.72,$115.12,$110.19
08/25/2022,$116.65,16956790,$114.235,$116.72,$114.11
08/24/2022,$113.69,17734620,$113.5,$114.78,$112.8701
08/23/2022,$113.86,15870370,$113.475,$115.01,$113.43
08/22/2022,$114.24,21456650,$115.2,$115.63,$113.85
08/19/2022,$117.21,21809530,$119.06,$119.15,$116.76
08/18/2022,$120.17,17987660,$119.43,$120.82,$118.72
08/17/2022,$119.55,22846960,$120.12,$121.29,$119.38
08/16/2022,$121.7,19041230,$121.52,$122.43,$120.64
08/15/2022,$122.08,19494830,$121.13,$122.3,$120.61
08/12/2022,$121.68,19096270,$120.26,$121.68,$119.46
08/11/2022,$118.84,24293650,$121.28,$121.49,$118.56
08/10/2022,$119.7,30930350,$118.78,$120.92,$118.41
08/09/2022,$116.63,19086470,$117.135,$117.32,$115.71
08/08/2022,$117.3,19169480,$118.39,$120.15,$116.88
08/05/2022,$117.47,19159520,$116.23,$118.1056,$116
08/04/2022,$118.19,21602930,$117.48,$118.78,$116.89
08/03/2022,$118.08,28499010,$115.71,$118.62,$115.48
08/02/2022,$115.13,20236030,$114,$116.35,$113.72
08/01/2022,$114.86,26034290,$115.3,$116.72,$114.34
07/29/2022,$116.32,37223390,$113.08,$116.705,$113.06
07/28/2022,$114.22,32816570,$112.37,$114.34,$111.46
07/27/2022,$113.06,59858500,$109.26,$113.91,$108.01
07/26/2022,$105.02,47990960,$106.6,$107.2,$104.07
07/25/2022,$107.51,34690890,$108.41,$109.87,$106.3
07/22/2022,$107.9,48901180,$111,$112.34,$106.5
07/21/2022,$114.34,32676170,$114.28,$114.55,$111.1132
07/20/2022,$113.9,35600430,$113.17,$115.4,$112.48
07/19/2022,$113.81,36530950,$110.85,$114.02,$109.56
07/18/2022,$109.03,43164590,$112.64,$113.68,$108.37
07/15/2022,$111.7775,46769120,$112.0005,$113.1405,$110.9
07/14/2022,$110.3675,37003040,$110.2105,$111.093,$108.373
07/13/2022,$111.3535,43722020,$111.701,$114.196,$111.2015
07/12/2022,$114.0205,29959700,$116.215,$116.974,$113.6902
07/11/2022,$115.6765,31243700,$117.998,$117.998,$115.3305
07/08/2022,$119.3535,38238160,$117.25,$119.685,$116.9013
07/07/2022,$118.783,40935880,$115.08,$119.1895,$114.8335
07/06/2022,$114.572,37431380,$113.302,$115.5895,$111.476
07/05/2022,$113.263,39399640,$107.1005,$113.3768,$105.7315
07/01/2022,$108.7375,35475660,$107.933,$109.25,$106.7305
06/30/2022,$108.963,43169060,$110,$110.888,$106.75
06/29/2022,$111.7015,24716820,$111.552,$113.1603,$110.8725
06/28/2022,$112.0075,35880960,$115.8025,$117.3095,$111.848
06/27/2022,$115.8335,36420760,$118.273,$118.5795,$115.1797
