Date,Close/Last,Volume,Open,High,Low
08/31/2022,$150.94,57370990,$153.84,$155.4,$149.5851
08/30/2022,$154.68,53018070,$159.6,$160.39,$151.82
08/29/2022,$158.01,49613190,$160.2,$163.38,$157.67
08/26/2022,$162.6,76912740,$178.57,$179.24,$162.37
08/25/2022,$179.13,77069130,$168.44,$179.47,$168.33
08/24/2022,$172.22,52266070,$170.12,$174.06,$168.95
08/23/2022,$171.81,36998580,$169.885,$174.65,$169.7
08/22/2022,$170.34,40959270,$174.9,$175.58,$169.66
08/19/2022,$178.49,44158830,$184.06,$185.2,$177.7
08/18/2022,$187.73,41544660,$183.01,$188.6499,$181.83
08/17/2022,$183.35,44679910,$185.23,$186.88,$181.45
08/16/2022,$188.79,45123960,$189.195,$191.42,$185.01
08/15/2022,$190.32,45766560,$187.01,$191.64,$186.13
08/12/2022,$187.09,47809420,$181.6,$187.18,$179.53
08/11/2022,$179.42,50932660,$181.31,$187.07,$178.76
08/10/2022,$180.97,59742250,$176.98,$181.18,$173.1701
08/09/2022,$170.86,66826270,$172.52,$174.4719,$167.24
08/08/2022,$177.93,98378320,$175.02,$182.39,$172.42
08/05/2022,$189.89,38606830,$188.1,$192.2892,$186.66
08/04/2022,$192.15,40965230,$188.49,$192.74,$187.6
08/03/2022,$188.93,41814560,$181.84,$189.68,$181.37
08/02/2022,$185.26,48952690,$181.22,$189.3753,$180.92
08/01/2022,$184.41,47646900,$181.82,$188.46,$179.9
07/29/2022,$181.63,43546040,$178.13,$182.44,$176.92
07/28/2022,$179.84,47464630,$179.75,$181.4,$174.4
07/27/2022,$177.9,56977620,$170.32,$179.36,$169.1301
07/26/2022,$165.33,39786490,$168.89,$169.19,$164.78
07/25/2022,$170.24,48074750,$170.19,$171.24,$166.49
07/22/2022,$173.19,53667090,$178.93,$179.67,$171.365
07/21/2022,$180.5,55704930,$178.85,$181.44,$175.4456
07/20/2022,$178.07,76053780,$169.47,$179.325,$168.01
07/19/2022,$169.92,70236610,$164.86,$171.1,$161.7201
07/18/2022,$161.01,67051750,$163.02,$168.97,$160.02
07/15/2022,$157.62,38593550,$156.59,$157.82,$154.45
07/14/2022,$153.72,45623480,$151.08,$154.7299,$147.28
07/13/2022,$151.64,52191830,$145.9,$153.75,$144.65
07/12/2022,$150.82,45848310,$152.68,$154.31,$148.77
07/11/2022,$151.52,43838870,$155.26,$155.2699,$150.3801
07/08/2022,$158.38,46797180,$154.3,$160.3699,$153.89
07/07/2022,$158.58,49290280,$154.555,$159.45,$153.89
07/06/2022,$151.3,52906590,$150.1,$153.1899,$147.89
07/05/2022,$149.64,65220760,$141.75,$149.71,$140.55
07/01/2022,$145.23,57761010,$148.99,$150.6291,$143.92
06/30/2022,$151.59,68607000,$153.61,$155.67,$148.62
06/29/2022,$155.42,48235230,$158.14,$158.2,$151.7
06/28/2022,$159.82,46185940,$169,$172.0199,$159.45
06/27/2022,$168.69,42796790,$173.12,$173.3,$166.255
06/24/2022,$171.26,47215280,$165,$171.4,$163.1
06/23/2022,$162.25,46367960,$165.185,$165.85,$158.53
06/22/2022,$163.6,43799740,$162.26,$166.62,$161.8
06/21/2022,$165.66,48308890,$164.745,$170.08,$164.07
06/17/2022,$158.8,63033400,$156.48,$159.95,$153.28
06/16/2022,$156.01,54574870,$158.6,$159.4232,$154.01
06/15/2022,$165.27,56393570,$160.95,$168.68,$159.26
06/14/2022,$158.36,46967950,$157.31,$160.66,$154.12
06/13/2022,$156.47,60415340,$160,$163.12,$156.06
06/10/2022,$169.74,46564970,$176,$176.97,$168.69
06/09/2022,$180.48,39557380,$184.81,$189.33,$180.41
06/08/2022,$186.48,36325250,$187.99,$191.8,$185.35
06/07/2022,$189.26,38891410,$184.72,$190,$181.88
06/06/2022,$187.86,42240620,$191.39,$193.37,$185.642
06/03/2022,$187.2,59877870,$190.815,$193.323,$185.2156
06/02/2022,$195.92,64865580,$182.92,$196.19,$181.98
06/01/2022,$183.2,54451390,$187.24,$190.5318,$181.22
05/31/2022,$186.72,66409950,$189.8,$192,$183.5
05/27/2022,$188.11,73837940,$181.86,$188.81,$181
05/26/2022,$178.51,99657450,$160.36,$180.92,$160.22
05/25/2022,$169.75,78113190,$160.2,$171.1099,$160
05/24/2022,$161.54,58855000,$165.1,$165.97,$157.8
05/23/2022,$168.98,63988870,$162.74,$169.15,$161.7901
05/20/2022,$166.94,73910530,$173.32,$174.1,$157.55
05/19/2022,$171.24,62130960,$169.37,$176.87,$167.3405
05/18/2022,$169.38,54516110,$177.05,$181.18,$168.64
05/17/2022,$181.77,58582970,$180.74,$183.71,$176.34
05/16/2022,$172.64,52144600,$175.09,$177.88,$171.06
05/13/2022,$177.06,67043650,$167.88,$179.2843,$165.925
05/12/2022,$161.75,70872840,$162.191,$167.88,$155.67
05/11/2022,$166.3,67016700,$173.47,$177.53,$165.68
05/10/2022,$175.95,76147430,$176.89,$181.98,$170.25
05/09/2022,$169.5,64445450,$180.34,$182.55,$168.27
05/06/2022,$186.75,63329670,$187.36,$195.12,$179.9
05/05/2022,$188.44,62633140,$198.67,$199.25,$185
05/04/2022,$203.34,64885460,$199.23,$204,$187.51
05/03/2022,$196.02,47575080,$194,$198.25,$191.33
05/02/2022,$195.33,57204870,$185.405,$195.74,$183.91
04/29/2022,$185.47,50043490,$194.02,$201.2848,$185.17
04/28/2022,$197.82,57032670,$189.67,$200.37,$184.8957
04/27/2022,$184.15,49946020,$185.98,$191.67,$182.9
04/26/2022,$187.88,65314250,$197.18,$197.88,$186.7
04/25/2022,$199.02,64156560,$192.02,$199.45,$190.96
04/22/2022,$195.15,62471340,$203.03,$204.86,$195
04/21/2022,$201.83,65620940,$217.092,$223.92,$200
04/20/2022,$214.82,46897440,$225.171,$226.7037,$212
04/19/2022,$221.98,51278060,$217.2,$223.73,$213.14
04/18/2022,$217.83,52570060,$212,$220.88,$210.79
04/14/2022,$212.58,56909690,$225.05,$227.77,$211.63
04/13/2022,$222.03,51694340,$217.28,$225,$214.55
04/12/2022,$215.04,66225810,$225.37,$227.25,$212.8204
04/11/2022,$219.17,57520680,$222.14,$223.1994,$216.6
04/08/2022,$231.19,52478060,$239.17,$239.23,$230.6201
04/07/2022,$242.08,55799240,$244.41,$247.22,$234.78
04/06/2022,$244.07,70383260,$249.34,$253,$240.03
04/05/2022,$259.31,43661470,$272.54,$273.19,$258.2
04/04/2022,$273.6,39770780,$267.28,$275.58,$266.13
04/01/2022,$267.12,51723510,$273.75,$274.96,$262.67
03/31/2022,$272.86,52344020,$277.82,$282.48,$272.7
03/30/2022,$276.9,46348710,$283.04,$284.955,$275.03
03/29/2022,$286.56,48898440,$286.945,$289.46,$279.8
03/28/2022,$282.19,42549390,$277.555,$282.5,$272.06
03/25/2022,$276.92,57901620,$278.86,$283.58,$272.71
03/24/2022,$281.5,87737910,$261.66,$283.1999,$259.07
03/23/2022,$256.34,50211990,$261.26,$266.115,$255.7501
03/22/2022,$265.24,54700710,$267.27,$272.38,$260.72
03/21/2022,$267.34,59172710,$265.07,$271.5199,$259.67
03/18/2022,$264.53,73071860,$247.99,$265.6899,$246.24
03/17/2022,$247.66,47194120,$241.2,$248.42,$239.06
03/16/2022,$244.96,67142170,$235,$245.97,$231.72
03/15/2022,$229.73,49199570,$215.18,$230.38,$213.2201
03/14/2022,$213.3,38535420,$218.69,$222.62,$211.5901
03/11/2022,$221,36720860,$230.22,$231.45,$220.46
03/10/2022,$226.58,42806570,$225.31,$227.88,$218.82
03/09/2022,$230.14,49274200,$223.87,$232.2,$222.47
03/08/2022,$215.14,55746720,$213.09,$223.7299,$206.5
03/07/2022,$213.52,45082090,$228.17,$230.33,$213.3
03/04/2022,$229.36,43201070,$233.84,$236.8,$224.82
03/03/2022,$237.14,36509500,$242.615,$243.2599,$234.69
03/02/2022,$242.2,38964190,$237.56,$244.09,$234.15
03/01/2022,$234.77,41205600,$242.91,$243.77,$231.32
02/28/2022,$243.85,47731860,$239.92,$246.65,$237.0701
02/25/2022,$241.57,52886550,$237.21,$242.17,$233.81
02/24/2022,$237.48,73580060,$210.15,$238,$208.9
02/23/2022,$223.87,56651080,$238.02,$241.5499,$223.01
02/22/2022,$233.9,63342240,$230.35,$240.6399,$230
02/18/2022,$236.42,76125490,$246.675,$249.86,$231
02/17/2022,$245.07,81059510,$256.3,$257.85,$241.65
02/16/2022,$265.11,73267630,$262.59,$265.82,$255.52
02/15/2022,$264.95,70175280,$249.49,$265.45,$247.84
02/14/2022,$242.67,44042440,$239.34,$248.75,$237.55
02/11/2022,$239.49,60547200,$259.16,$261.52,$237.73
02/10/2022,$258.24,51319970,$259.95,$269.2499,$256
02/09/2022,$267.05,52428170,$256.22,$267.25,$253.53
02/08/2022,$251.08,41035860,$243.59,$252.3,$239.8
02/07/2022,$247.28,37686750,$243.72,$251.82,$242.02
02/04/2022,$243.19,35482850,$239.72,$246.35,$236.32
02/03/2022,$239.48,41017780,$244.58,$250.77,$237.8
02/02/2022,$252.42,54341940,$257.94,$258.17,$245.5301
02/01/2022,$246.38,51892520,$251.04,$251.45,$238.9001
01/31/2022,$244.86,56467970,$231.82,$245.09,$230.52
01/28/2022,$228.4,54377430,$220.122,$228.58,$212.96
01/27/2022,$219.44,57335270,$235.68,$239.95,$216.75
01/26/2022,$227.72,75595870,$232.4,$240.57,$223
01/25/2022,$223.24,66461640,$225.46,$229.43,$220
01/24/2022,$233.72,91581060,$223.3,$233.8,$208.88
01/21/2022,$233.74,71895780,$235.07,$248.23,$232.63
01/20/2022,$241.5,43518070,$253.04,$255.7904,$240.78
01/19/2022,$250.67,48831450,$260.79,$265.4317,$250.52
01/18/2022,$259.03,42530620,$262.6,$266.38,$257.7
01/14/2022,$269.42,39583240,$263,$271.969,$262.1001
01/13/2022,$265.75,53886810,$283.79,$284.8,$264.98
01/12/2022,$279.99,38341350,$280.665,$285.95,$276.08
01/11/2022,$278.17,40408930,$273.225,$280.65,$268.39
01/10/2022,$274,59468100,$265.81,$274.69,$256.4384
01/07/2022,$272.47,40993850,$281.41,$284.22,$270.57
01/06/2022,$281.78,45418640,$276.4,$284.3799,$270.65
01/05/2022,$276.04,49806390,$289.49,$294.16,$275.33
01/04/2022,$292.9,52715440,$302.77,$304.68,$283.49
01/03/2022,$301.21,39240290,$298.15,$307.11,$297.85
12/31/2021,$294.11,26652990,$296.74,$300.3,$293.3057
12/30/2021,$295.86,30886420,$298.27,$304.57,$295.4
12/29/2021,$300.01,34313930,$302.725,$305.48,$293.66
12/28/2021,$303.22,42059120,$313.12,$313.3,$300.1181
12/27/2021,$309.45,40368590,$296.6,$310.865,$296.4
12/23/2021,$296.4,34302170,$297.55,$300.59,$294.3101
12/22/2021,$294,39518440,$288.91,$295.55,$284.49
12/21/2021,$290.75,52438490,$283.74,$291.2,$274.01
12/20/2021,$277.19,46184680,$273.05,$281.44,$271.45
12/17/2021,$278.01,71662240,$279.85,$289.22,$277.6
12/16/2021,$283.87,70736600,$311.52,$311.6,$280.93
12/15/2021,$304.59,69829690,$284,$305,$278.38
12/14/2021,$283.37,66703540,$276.99,$286.78,$272.5
12/13/2021,$281.61,59834370,$302.49,$302.94,$281.16
12/10/2021,$301.98,48882510,$311.5,$313.05,$298.61
12/09/2021,$304.9,48850720,$317.34,$322.05,$304.28
12/08/2021,$318.26,47555150,$319.99,$322.9,$314.2101
12/07/2021,$324.27,59305350,$309.57,$324.49,$306.51
12/06/2021,$300.37,65893850,$298.8,$302.41,$280.38
12/03/2021,$306.93,54432510,$320,$321.29,$301.3
12/02/2021,$321.26,47289030,$312.14,$324.7799,$310.25
12/01/2021,$314.35,48580200,$332.1947,$332.8934,$313.8
11/30/2021,$326.76,62206650,$331.69,$333.53,$318.6401
11/29/2021,$333.76,45496400,$323.66,$334.12,$320.36
11/26/2021,$315.03,28306890,$326,$327.1,$313.5
11/24/2021,$326.74,43516230,$314.61,$328.55,$309.28
11/23/2021,$317.46,53216270,$315.35,$323.6,$308.8
11/22/2021,$319.56,75433520,$335.17,$346.47,$319
11/19/2021,$329.85,53386670,$322.43,$330.88,$319.05
11/18/2021,$316.75,78171080,$323.67,$327.6,$313.21
11/17/2021,$292.61,42850800,$304.18,$305.09,$288
11/16/2021,$302.03,26448370,$297.59,$303.9,$297.0587
11/15/2021,$300.25,38490900,$305.52,$306.44,$292.47
11/12/2021,$303.9,41305430,$300.1,$306.8,$296.3
11/11/2021,$303.9,33217210,$304.68,$305.9,$297.7701
11/10/2021,$294.59,63620570,$293.56,$308.5,$287.78
11/09/2021,$306.57,64674620,$322.82,$323.1,$299.64
11/08/2021,$308.04,50310090,$301.49,$311,$299.07
11/05/2021,$297.52,85126020,$301.87,$314,$294.1
11/04/2021,$298.01,115363100,$272.29,$313.65,$271.18
11/03/2021,$265.98,23991030,$266.7,$267.84,$262.35
11/02/2021,$264.01,29411240,$258.22,$266.78,$258
11/01/2021,$258.27,26573980,$256.49,$258.94,$252.27
10/29/2021,$255.67,29250280,$250.005,$257.09,$250
10/28/2021,$249.41,23420430,$248.78,$249.5,$245.23
10/27/2021,$244.51,24598990,$244.74,$250.9,$242.8201
10/26/2021,$247.17,48589830,$239.89,$252.59,$239.24
10/25/2021,$231.66,23023480,$229.73,$233.5499,$227.7
10/22/2021,$227.26,24938380,$228.23,$231.3,$225.61
10/21/2021,$226.92,18759030,$220.97,$227.11,$220.83
10/20/2021,$221.03,14627590,$223.045,$224.33,$219.82
10/19/2021,$222.9,16147330,$222.76,$223.79,$220.37
10/18/2021,$222.22,18949360,$217.49,$222.91,$216.44
10/15/2021,$218.62,22699400,$218.1,$219.31,$216.62
10/14/2021,$217.46,24358880,$212.88,$217.55,$211.2201
10/13/2021,$209.39,18065190,$209.18,$209.9,$207.13
10/12/2021,$206.71,16213350,$208.275,$210.57,$205.28
10/11/2021,$206.95,16338750,$205.75,$210.63,$205.11
10/08/2021,$208.31,15125790,$211.01,$212.06,$207.75
